anadir,subject,task,iter,calfolder,rgb_ximea,nframes
/hmet_analysis,dd,book,task,0,rgb,"26000
"
/hmet_analysis,dd,book,task,0,ximea,"26000
"
/hmet_analysis,dd,left_eye_cal,2021_05_09_2,calib,rgb,"3000
"
/hmet_analysis,dd,left_eye_cal,2021_05_09_2,calib,ximea,"3000
"
/hmet_analysis,dd,right_eye_cal,2021_05_09_3,calib,rgb,"2000
"
/hmet_analysis,dd,right_eye_cal,2021_05_09_3,calib,ximea,"2000
"
/hmet_analysis,dd,val_eye_cal,2021_05_09_4,calib,rgb,"2000
"
/hmet_analysis,dd,val_eye_cal,2021_05_09_4,calib,ximea,"2000
"
/hmet_analysis,dd,phone,task,0,rgb,"26000
"
/hmet_analysis,dd,phone,task,0,ximea,"26000
"
/hmet_analysis,dd,computer,task,0,rgb,"26000
"
/hmet_analysis,dd,computer,task,0,ximea,"26000
"
/hmet_analysis,dd,sandwich,task,0,rgb,"25000
"
/hmet_analysis,dd,sandwich,task,0,ximea,"25000
"
/hmet_analysis,dd,movie,task,0,rgb,"26000
"
/hmet_analysis,dd,movie,task,0,ximea,"26000
"
/hmet_analysis,dd,left_eye_cal,2021_05_09_15,calib,rgb,"2000
"
/hmet_analysis,dd,left_eye_cal,2021_05_09_15,calib,ximea,"2000
"
/hmet_analysis,dd,right_eye_cal,2021_05_09_16,calib,rgb,"3000
"
/hmet_analysis,dd,right_eye_cal,2021_05_09_16,calib,ximea,"3000
"
/hmet_analysis,dd,val_eye_cal,2021_05_09_17,calib,rgb,"2000
"
/hmet_analysis,dd,val_eye_cal,2021_05_09_17,calib,ximea,"2000
"
/hmet_analysis,dd,chat,task,0,rgb,"26000
"
/hmet_analysis,dd,chat,task,0,ximea,"26000
"
/hmet_analysis,dd,laundry,task,0,rgb,"26000
"
/hmet_analysis,dd,laundry,task,0,ximea,"26000
"
/hmet_analysis,dd,indoor_stand,task,0,rgb,"26000
"
/hmet_analysis,dd,indoor_stand,task,0,ximea,"26000
"
/hmet_analysis,dd,left_eye_cal,2021_06_29_23,calib,rgb,"2000
"
/hmet_analysis,dd,left_eye_cal,2021_06_29_23,calib,ximea,"2000
"
/hmet_analysis,dd,right_eye_cal,2021_06_29_24,calib,rgb,"2000
"
/hmet_analysis,dd,right_eye_cal,2021_06_29_24,calib,ximea,"2000
"
/hmet_analysis,dd,val_eye_cal,2021_06_29_25,calib,rgb,"1000
"
/hmet_analysis,dd,val_eye_cal,2021_06_29_25,calib,ximea,"1000
"
/hmet_analysis,dd,indoor_walk,task,0,rgb,"25000
"
/hmet_analysis,dd,indoor_walk,task,0,ximea,"25000
"
/hmet_analysis,dd,catch,task,0,rgb,"26000
"
/hmet_analysis,dd,catch,task,0,ximea,"26000
"
/hmet_analysis,dd,patio_stand,task,0,rgb,"25000
"
/hmet_analysis,dd,patio_stand,task,0,ximea,"25000
"
/hmet_analysis,dd,left_eye_cal,2021_06_29_2,calib,rgb,"3000
"
/hmet_analysis,dd,left_eye_cal,2021_06_29_2,calib,ximea,"3000
"
/hmet_analysis,dd,right_eye_cal,2021_06_29_4,calib,rgb,"2000
"
/hmet_analysis,dd,right_eye_cal,2021_06_29_4,calib,ximea,"2000
"
/hmet_analysis,dd,val_eye_cal,2021_06_29_5,calib,rgb,"2000
"
/hmet_analysis,dd,val_eye_cal,2021_06_29_5,calib,ximea,"2000
"
/hmet_analysis,dd,patio_walk,task,0,rgb,"25000
"
/hmet_analysis,dd,patio_walk,task,0,ximea,"25000
"
/hmet_analysis,dd,road_stand,task,0,rgb,"23000
"
/hmet_analysis,dd,road_stand,task,0,ximea,"23000
"
/hmet_analysis,dd,road_walk,task,0,rgb,"39000
"
/hmet_analysis,dd,road_walk,task,0,ximea,"39000
"
/hmet_analysis,ad,book,task,0,rgb,"25000
"
/hmet_analysis,ad,book,task,0,ximea,"25000
"
/hmet_analysis,ad,left_eye_cal,2021_06_19_001_a,calib,rgb,"3000
"
/hmet_analysis,ad,left_eye_cal,2021_06_19_001_a,calib,ximea,"3000
"
/hmet_analysis,ad,right_eye_cal,2021_06_19_002_a,calib,rgb,"3000
"
/hmet_analysis,ad,right_eye_cal,2021_06_19_002_a,calib,ximea,"3000
"
/hmet_analysis,ad,val_eye_cal,2021_06_19_003_a,calib,rgb,"2000
"
/hmet_analysis,ad,val_eye_cal,2021_06_19_003_a,calib,ximea,"2000
"
/hmet_analysis,ad,phone,task,0,rgb,"25000
"
/hmet_analysis,ad,phone,task,0,ximea,"25000
"
/hmet_analysis,ad,computer,task,0,rgb,"25000
"
/hmet_analysis,ad,computer,task,0,ximea,"25000
"
/hmet_analysis,ad,sandwich,task,0,rgb,"25000
"
/hmet_analysis,ad,sandwich,task,0,ximea,"25000
"
/hmet_analysis,ad,movie,task,0,rgb,"0
"
/hmet_analysis,ad,movie,task,0,ximea,"0
"
/hmet_analysis,ad,left_eye_cal,2021_06_19_016_a,calib,rgb,"3000
"
/hmet_analysis,ad,left_eye_cal,2021_06_19_016_a,calib,ximea,"3000
"
/hmet_analysis,ad,right_eye_cal,2021_06_19_017_a,calib,rgb,"4000
"
/hmet_analysis,ad,right_eye_cal,2021_06_19_017_a,calib,ximea,"4000
"
/hmet_analysis,ad,val_eye_cal,2021_06_19_020_a,calib,rgb,"2000
"
/hmet_analysis,ad,val_eye_cal,2021_06_19_020_a,calib,ximea,"2000
"
/hmet_analysis,ad,movie,task,1,rgb,"21000
"
/hmet_analysis,ad,movie,task,1,ximea,"21000
"
/hmet_analysis,ad,chat,task,0,rgb,"25000
"
/hmet_analysis,ad,chat,task,0,ximea,"25000
"
